Formula,Alpha,Power,p1,p2,User_n,Statsmodels_n,Difference,Rel_difference
Two Proportions (A/B),0.050000000000000044,0.85,0.4207500261773954,0.6364710866327388,92,95.0,3.0,0.031578947368421054
Two Proportions (A/B),0.050000000000000044,0.8,0.025396692540523735,0.2488948158081447,34,30.0,4.0,0.11764705882352941
Two Proportions (A/B),0.09999999999999998,0.9,0.45397228398631895,0.5413080910182925,558,560.0,2.0,0.0035714285714285713
Two Proportions (A/B),0.050000000000000044,0.85,0.44004703962888286,0.46212751695986076,9116,9119.0,3.0,0.0003289834411667946
Two Proportions (A/B),0.010000000000000009,0.8,0.38353142569074994,0.5254579036479502,282,286.0,4.0,0.013986013986013986
Two Proportions (A/B),0.010000000000000009,0.85,0.2654350633505281,0.5584790721015,68,72.0,4.0,0.05555555555555555
Two Proportions (A/B),0.050000000000000044,0.8,0.01830435579589469,0.2516502372054525,30,26.0,4.0,0.13333333333333333
Two Proportions (A/B),0.09999999999999998,0.8,0.06890154226908236,0.15592056382707814,160,157.0,3.0,0.01875
Two Proportions (A/B),0.09999999999999998,0.85,0.388839518220149,0.5490480712567969,136,139.0,3.0,0.02158273381294964
Two Proportions (A/B),0.09999999999999998,0.95,0.2896183157016581,0.4643651442796396,162,165.0,3.0,0.01818181818181818
Two Proportions (A/B),0.010000000000000009,0.8,0.27870719773587044,0.543691181041322,75,79.0,4.0,0.05063291139240506
Two Proportions (A/B),0.010000000000000009,0.8,0.27801199317198017,0.5286432980553972,84,88.0,4.0,0.045454545454545456
Two Proportions (A/B),0.010000000000000009,0.95,0.1526606814147377,0.22271820768594336,1098,1098.0,0.0,0.0
Two Proportions (A/B),0.09999999999999998,0.85,0.4507330541475898,0.6666723293690289,73,75.0,2.0,0.02666666666666667
Two Proportions (A/B),0.010000000000000009,0.95,0.30561298480032206,0.45289924043384666,378,384.0,6.0,0.015625
Two Proportions (A/B),0.09999999999999998,0.9,0.0383437802291087,0.3261028225156878,27,26.0,1.0,0.037037037037037035
